:START_ID,:END_ID,:TYPE,restriction,restriction_value,label
UPPER_BLANK_14,obo.CARO_0010000,obo.RO_0002207,ONLY,,directly develops from;directly develops from
obo.CARO_0030000,obo.BFO_0000004,is_a,,,
obo.CDNO_0000001,obo.FOODON_03411041,is_a,,,
obo.CDNO_0000002,obo.CDNO_0000001,is_a,,,
obo.CDNO_0000003,obo.CHEBI_16646,is_a,,,
obo.CDNO_0000004,obo.CDNO_0000003,is_a,,,
obo.CDNO_0000005,obo.CHEBI_16646,is_a,,,
obo.CDNO_0000006,obo.CDNO_0000005,is_a,,,
obo.CDNO_0000007,obo.CDNO_0000006,is_a,,,
obo.CDNO_0000008,obo.CDNO_0000005,is_a,,,
obo.CDNO_0000009,obo.CHEBI_36080,is_a,,,
obo.CDNO_0000011,obo.CHEBI_167164,is_a,,,
obo.CDNO_0000012,obo.CHEBI_167164,is_a,,,
obo.CDNO_0000013,obo.CDNO_0000001,is_a,,,
obo.CDNO_0000014,obo.CDNO_0000001,is_a,,,
obo.CDNO_0000015,obo.CDNO_0000011,is_a,,,
obo.CDNO_0000016,obo.CDNO_0000011,is_a,,,
obo.CDNO_0000017,obo.CDNO_0000011,is_a,,,
obo.CDNO_0000018,obo.CDNO_0000011,is_a,,,
obo.CDNO_0000019,obo.CDNO_0000011,is_a,,,
obo.CDNO_0000020,obo.CDNO_0000011,is_a,,,
obo.CDNO_0000021,obo.CDNO_0000011,is_a,,,
obo.CDNO_0000022,obo.CDNO_0000012,is_a,,,
obo.CDNO_0000023,obo.CDNO_0000012,is_a,,,
obo.CDNO_0000024,obo.CDNO_0000012,is_a,,,
obo.CDNO_0000025,obo.CDNO_0000012,is_a,,,
obo.CDNO_0000026,obo.CDNO_0000012,is_a,,,
obo.CDNO_0000027,obo.CDNO_0000012,is_a,,,
obo.CDNO_0000028,obo.CDNO_0000012,is_a,,,
obo.CDNO_0000029,obo.CDNO_0000012,is_a,,,
obo.CDNO_0000030,obo.CDNO_0000012,is_a,,,
obo.CDNO_0000031,obo.CHEBI_18154,is_a,,,
obo.CDNO_0100001,UPPER_AND_1,equivalent_to,,,
obo.CHEBI_28057,UPPER_AND_1,member_of,,,
UPPER_BLANK_15,UPPER_AND_1,member_of,,,
UPPER_BLANK_15,obo.CHEBI_28017,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100002,UPPER_AND_2,equivalent_to,,,
obo.CHEBI_28102,UPPER_AND_2,member_of,,,
UPPER_BLANK_16,UPPER_AND_2,member_of,,,
UPPER_BLANK_16,obo.CHEBI_28017,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100003,UPPER_AND_3,equivalent_to,,,
obo.CHEBI_24174,UPPER_AND_3,member_of,,,
UPPER_BLANK_17,UPPER_AND_3,member_of,,,
UPPER_BLANK_17,obo.CHEBI_17309,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100004,UPPER_AND_4,equivalent_to,,,
obo.CHEBI_26543,UPPER_AND_4,member_of,,,
UPPER_BLANK_18,UPPER_AND_4,member_of,,,
UPPER_BLANK_18,obo.CHEBI_17309,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100005,UPPER_AND_5,equivalent_to,,,
obo.CHEBI_28808,UPPER_AND_5,member_of,,,
UPPER_BLANK_19,UPPER_AND_5,member_of,,,
UPPER_BLANK_19,obo.CHEBI_61266,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100006,UPPER_AND_6,equivalent_to,,,
obo.CHEBI_37166,UPPER_AND_6,member_of,,,
UPPER_BLANK_20,UPPER_AND_6,member_of,,,
UPPER_BLANK_20,obo.CHEBI_61266,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100007,UPPER_AND_7,equivalent_to,,,
obo.CHEBI_18233,UPPER_AND_7,member_of,,,
UPPER_BLANK_21,UPPER_AND_7,member_of,,,
UPPER_BLANK_21,obo.CHEBI_61266,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100008,UPPER_AND_8,equivalent_to,,,
obo.CHEBI_17020,UPPER_AND_8,member_of,,,
UPPER_BLANK_22,UPPER_AND_8,member_of,,,
UPPER_BLANK_22,obo.CHEBI_61266,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100009,UPPER_AND_9,equivalent_to,,,
obo.CHEBI_28427,UPPER_AND_9,member_of,,,
UPPER_BLANK_23,UPPER_AND_9,member_of,,,
UPPER_BLANK_23,obo.CHEBI_61266,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100010,UPPER_AND_10,equivalent_to,,,
obo.CHEBI_28796,UPPER_AND_10,member_of,,,
UPPER_BLANK_24,UPPER_AND_10,member_of,,,
UPPER_BLANK_24,obo.CHEBI_61266,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100011,UPPER_AND_11,equivalent_to,,,
obo.CHEBI_22590,UPPER_AND_11,member_of,,,
UPPER_BLANK_25,UPPER_AND_11,member_of,,,
UPPER_BLANK_25,obo.CHEBI_61266,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100012,UPPER_AND_12,equivalent_to,,,
obo.CHEBI_27680,UPPER_AND_12,member_of,,,
UPPER_BLANK_26,UPPER_AND_12,member_of,,,
UPPER_BLANK_26,obo.CHEBI_61266,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100013,UPPER_AND_13,equivalent_to,,,
obo.CHEBI_37165,UPPER_AND_13,member_of,,,
UPPER_BLANK_27,UPPER_AND_13,member_of,,,
UPPER_BLANK_27,obo.CHEBI_61266,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100014,UPPER_AND_14,equivalent_to,,,
obo.CHEBI_17234,UPPER_AND_14,member_of,,,
UPPER_BLANK_28,UPPER_AND_14,member_of,,,
UPPER_BLANK_28,obo.CDNO_0100001,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100015,UPPER_AND_15,equivalent_to,,,
obo.CHEBI_17234,UPPER_AND_15,member_of,,,
UPPER_BLANK_29,UPPER_AND_15,member_of,,,
UPPER_BLANK_29,obo.CDNO_0100002,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100016,UPPER_AND_16,equivalent_to,,,
obo.CHEBI_17234,UPPER_AND_16,member_of,,,
UPPER_BLANK_30,UPPER_AND_16,member_of,,,
UPPER_BLANK_30,obo.CHEBI_17992,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100017,UPPER_AND_17,equivalent_to,,,
obo.CHEBI_28757,UPPER_AND_17,member_of,,,
UPPER_BLANK_31,UPPER_AND_17,member_of,,,
UPPER_BLANK_31,obo.CHEBI_17992,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100018,UPPER_AND_18,equivalent_to,,,
obo.CHEBI_17234,UPPER_AND_18,member_of,,,
UPPER_BLANK_32,UPPER_AND_18,member_of,,,
UPPER_BLANK_32,obo.CHEBI_17306,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100019,UPPER_AND_19,equivalent_to,,,
obo.CHEBI_33830,UPPER_AND_19,member_of,,,
UPPER_BLANK_33,UPPER_AND_19,member_of,,,
UPPER_BLANK_33,obo.CDNO_0100003,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100020,UPPER_AND_20,equivalent_to,,,
obo.CHEBI_26546,UPPER_AND_20,member_of,,,
UPPER_BLANK_34,UPPER_AND_20,member_of,,,
UPPER_BLANK_34,obo.CDNO_0100004,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100021,UPPER_AND_21,equivalent_to,,,
obo.CHEBI_16689,UPPER_AND_21,member_of,,,
UPPER_BLANK_35,UPPER_AND_21,member_of,,,
UPPER_BLANK_35,obo.CDNO_0100004,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100022,UPPER_AND_22,equivalent_to,,,
obo.CHEBI_33830,UPPER_AND_22,member_of,,,
UPPER_BLANK_36,UPPER_AND_22,member_of,,,
UPPER_BLANK_36,obo.CDNO_0100004,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100023,UPPER_AND_23,equivalent_to,,,
obo.CHEBI_33984,UPPER_AND_23,member_of,,,
UPPER_BLANK_37,UPPER_AND_23,member_of,,,
UPPER_BLANK_37,obo.CDNO_0100004,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100024,UPPER_AND_24,equivalent_to,,,
obo.CHEBI_18222,UPPER_AND_24,member_of,,,
UPPER_BLANK_38,UPPER_AND_24,member_of,,,
UPPER_BLANK_38,obo.CDNO_0100004,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100025,UPPER_AND_25,equivalent_to,,,
obo.CHEBI_22599,UPPER_AND_25,member_of,,,
UPPER_BLANK_39,UPPER_AND_25,member_of,,,
UPPER_BLANK_39,obo.CDNO_0100004,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100026,UPPER_AND_26,equivalent_to,,,
obo.CHEBI_28260,UPPER_AND_26,member_of,,,
UPPER_BLANK_40,UPPER_AND_26,member_of,,,
UPPER_BLANK_40,obo.CDNO_0100004,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100027,UPPER_AND_27,equivalent_to,,,
obo.CHEBI_16634,UPPER_AND_27,member_of,,,
UPPER_BLANK_41,UPPER_AND_27,member_of,,,
UPPER_BLANK_41,obo.CHEBI_74961,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100028,UPPER_AND_28,equivalent_to,,,
obo.CHEBI_28260,UPPER_AND_28,member_of,,,
UPPER_BLANK_42,UPPER_AND_28,member_of,,,
UPPER_BLANK_42,obo.CDNO_0100027,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100029,UPPER_AND_29,equivalent_to,,,
obo.CHEBI_17234,UPPER_AND_29,member_of,,,
UPPER_BLANK_43,UPPER_AND_29,member_of,,,
UPPER_BLANK_43,obo.CDNO_0100027,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100030,UPPER_AND_30,equivalent_to,,,
obo.CHEBI_28757,UPPER_AND_30,member_of,,,
UPPER_BLANK_44,UPPER_AND_30,member_of,,,
UPPER_BLANK_44,obo.CDNO_0100027,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100031,UPPER_AND_31,equivalent_to,,,
obo.CHEBI_17164,UPPER_AND_31,member_of,,,
UPPER_BLANK_45,UPPER_AND_31,member_of,,,
UPPER_BLANK_45,obo.CHEBI_74961,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100032,UPPER_AND_32,equivalent_to,,,
obo.CHEBI_28260,UPPER_AND_32,member_of,,,
UPPER_BLANK_46,UPPER_AND_32,member_of,,,
UPPER_BLANK_46,obo.CDNO_0100031,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100033,UPPER_AND_33,equivalent_to,,,
obo.CHEBI_17234,UPPER_AND_33,member_of,,,
UPPER_BLANK_47,UPPER_AND_33,member_of,,,
UPPER_BLANK_47,obo.CDNO_0100031,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100034,UPPER_AND_34,equivalent_to,,,
obo.CHEBI_28757,UPPER_AND_34,member_of,,,
UPPER_BLANK_48,UPPER_AND_34,member_of,,,
UPPER_BLANK_48,obo.CDNO_0100031,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100035,UPPER_AND_35,equivalent_to,,,
obo.CHEBI_28586,UPPER_AND_35,member_of,,,
UPPER_BLANK_49,UPPER_AND_35,member_of,,,
UPPER_BLANK_49,obo.CHEBI_74961,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100036,UPPER_AND_36,equivalent_to,,,
obo.CHEBI_28260,UPPER_AND_36,member_of,,,
UPPER_BLANK_50,UPPER_AND_36,member_of,,,
UPPER_BLANK_50,obo.CDNO_0100035,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100037,UPPER_AND_37,equivalent_to,,,
obo.CHEBI_17234,UPPER_AND_37,member_of,,,
UPPER_BLANK_51,UPPER_AND_37,member_of,,,
UPPER_BLANK_51,obo.CDNO_0100035,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100038,UPPER_AND_38,equivalent_to,,,
obo.CHEBI_28757,UPPER_AND_38,member_of,,,
UPPER_BLANK_52,UPPER_AND_38,member_of,,,
UPPER_BLANK_52,obo.CDNO_0100035,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100039,UPPER_AND_39,equivalent_to,,,
obo.CHEBI_17234,UPPER_AND_39,member_of,,,
UPPER_BLANK_53,UPPER_AND_39,member_of,,,
UPPER_BLANK_53,obo.CHEBI_62967,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100040,UPPER_AND_40,equivalent_to,,,
obo.CHEBI_37684,UPPER_AND_40,member_of,,,
UPPER_BLANK_54,UPPER_AND_40,member_of,,,
UPPER_BLANK_54,obo.CDNO_0100005,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100041,UPPER_AND_41,equivalent_to,,,
obo.CHEBI_17234,UPPER_AND_41,member_of,,,
UPPER_BLANK_55,UPPER_AND_41,member_of,,,
UPPER_BLANK_55,obo.CDNO_0100006,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100042,UPPER_AND_42,equivalent_to,,,
obo.CHEBI_18222,UPPER_AND_42,member_of,,,
UPPER_BLANK_56,UPPER_AND_42,member_of,,,
UPPER_BLANK_56,obo.CDNO_0100006,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100043,UPPER_AND_43,equivalent_to,,,
obo.CHEBI_17234,UPPER_AND_43,member_of,,,
UPPER_BLANK_57,UPPER_AND_43,member_of,,,
UPPER_BLANK_57,obo.CDNO_0100007,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100044,UPPER_AND_44,equivalent_to,,,
obo.CHEBI_18222,UPPER_AND_44,member_of,,,
UPPER_BLANK_58,UPPER_AND_44,member_of,,,
UPPER_BLANK_58,obo.CDNO_0100007,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100045,UPPER_AND_45,equivalent_to,,,
obo.CHEBI_17234,UPPER_AND_45,member_of,,,
UPPER_BLANK_59,UPPER_AND_45,member_of,,,
UPPER_BLANK_59,obo.CDNO_0100008,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100046,UPPER_AND_46,equivalent_to,,,
obo.CHEBI_37684,UPPER_AND_46,member_of,,,
UPPER_BLANK_60,UPPER_AND_46,member_of,,,
UPPER_BLANK_60,obo.CDNO_0100008,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100047,UPPER_AND_47,equivalent_to,,,
obo.CHEBI_22599,UPPER_AND_47,member_of,,,
UPPER_BLANK_61,UPPER_AND_47,member_of,,,
UPPER_BLANK_61,obo.CDNO_0100009,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100048,UPPER_AND_48,equivalent_to,,,
obo.CHEBI_18222,UPPER_AND_48,member_of,,,
UPPER_BLANK_62,UPPER_AND_48,member_of,,,
UPPER_BLANK_62,obo.CDNO_0100009,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100049,UPPER_AND_49,equivalent_to,,,
obo.CHEBI_15443,UPPER_AND_49,member_of,,,
UPPER_BLANK_63,UPPER_AND_49,member_of,,,
UPPER_BLANK_63,obo.CHEBI_28796,obo.RO_0001000,SOME,,derives from
obo.CDNO_0100050,UPPER_AND_50,equivalent_to,,,
